Participant ID,Session,Attempt,Error Angle,Hit
Al,1,1,-110.64,False
Al,1,2,-10.26,False
Al,1,3,-3.86,False
Al,1,4,-5.24,False
Al,1,5,-0.09,False
Al,1,6,-0.6,True
Al,1,7,-1.6,True
Al,1,8,4.64,False
Al,1,9,4.11,False
Al,1,10,4.33,False
Al,1,11,-3.64,True
Al,1,12,3.46,False
Al,1,13,2.48,True
Al,1,14,0.94,True
Al,1,15,-1.72,True
Al,1,16,-0.48,True
Al,1,17,-0.27,True
Al,1,18,-2.39,False
Al,1,19,2.86,True
Al,1,20,6.05,False
Al,1,21,24.53,False
Al,1,22,14.32,False
Al,1,23,3.43,True
Al,1,24,6.4,False
Al,1,25,10.65,False
Al,1,26,5.05,False
Al,1,27,11.4,False
Al,1,28,13.3,False
Al,1,29,-2.43,True
Al,1,30,-1.24,True
Al,1,31,-0.95,True
Al,1,32,-0.92,True
Al,1,33,-3.95,False
Al,1,34,2.1,True
Al,1,35,1.95,True
Al,1,36,1.54,False
Al,1,37,2.2,True
Al,1,38,4.79,False
Al,1,39,-1.2,True
Al,1,40,4.05,False
Al,1,41,-1.57,True
Al,1,42,7.03,False
Al,1,43,7.24,False
Al,1,44,2.07,True
Al,1,45,-0.36,True
Al,1,46,3.2,True
Al,1,47,1.51,True
Al,1,48,1.55,True
Al,1,49,-6.37,False
Al,1,50,-2.41,True
Al,1,51,-3.79,True
Al,1,52,2.86,True
Al,1,53,-0.64,True
Al,1,54,1.28,True
Al,1,55,5.93,False
Al,1,56,7.91,False
Al,1,57,2.77,False
Al,1,58,5.36,False
Al,1,59,6.48,False
Al,1,60,-3.17,False
Al,1,61,0.25,True
Al,1,62,-1.14,True
Al,1,63,2.32,True
Al,1,64,-3.11,True
Al,1,65,1.77,True
Al,1,66,-1.0,True
Al,1,67,-3.22,False
Al,1,68,3.93,False
Al,1,69,2.41,True
Al,1,70,0.69,True
Al,1,71,0.37,True
Al,1,72,-0.99,True
Al,1,73,-0.15,False
Al,1,74,4.64,False
Al,1,75,4.44,False
Al,1,76,5.49,False
Al,1,77,-2.21,True
Al,1,78,2.86,False
Al,1,79,3.0,True
Al,1,80,0.25,False
Al,1,81,-26.32,False
Al,1,82,-5.79,False
Al,1,83,-5.49,False
Al,1,84,-6.33,False
Al,1,85,-6.73,False
Al,1,86,-2.3,True
Al,1,87,0.24,True
Al,1,88,-1.65,False
Al,1,89,-8.43,False
Al,1,90,-9.24,False
Al,1,91,-4.36,False
Al,1,92,-7.86,False
Al,1,93,-5.11,False
Al,1,94,-2.58,False
Al,1,95,-3.32,False
Al,1,96,-0.68,True
Al,1,97,-0.12,True
Al,1,98,-1.69,False
Al,1,99,-1.99,True
Al,1,100,-7.19,False
Al,1,101,-10.6,False
Al,1,102,-1.93,True
Al,1,103,-2.46,True
Al,1,104,-2.92,True
Al,1,105,-3.19,False
Al,1,106,-3.72,False
Al,1,107,-2.53,False
Al,1,108,0.63,True
Al,1,109,-1.05,False
Al,1,110,2.42,True
Al,1,111,-2.66,False
Al,1,112,6.04,False
Al,1,113,-2.34,True
Al,1,114,-1.57,True
Al,1,115,-1.57,False
Al,1,116,-2.28,False
Al,1,117,-2.26,True
Al,1,118,-5.9,False
Al,1,119,-6.23,False
Al,1,120,-2.29,True
Al,1,121,28.35,False
Al,1,122,11.63,False
Al,1,123,16.98,False
Al,1,124,12.49,False
Al,1,125,12.35,False
Al,1,126,10.71,False
Al,1,127,10.87,False
Al,1,128,2.66,False
Al,1,129,9.94,False
Al,1,130,16.18,False
Al,1,131,13.91,False
Al,1,132,15.17,False
Al,1,133,9.95,False
Al,1,134,11.35,False
Al,1,135,11.06,False
Al,1,136,10.9,False
Al,1,137,10.37,False
Al,1,138,5.43,False
Al,1,139,4.99,False
Al,1,140,5.84,False
Al,1,141,3.64,False
Al,1,142,-2.75,False
Al,1,143,-2.41,False
Al,1,144,2.99,False
Al,1,145,-1.46,False
Al,1,146,-0.94,True
Al,1,147,3.78,False
Al,1,148,5.61,False
Al,1,149,2.1,True
Al,1,150,0.82,True
Al,1,151,-0.82,False
Al,1,152,-6.92,False
Al,1,153,4.24,False
Al,1,154,6.57,False
Al,1,155,3.57,True
Al,1,156,-1.0,True
Al,1,157,0.54,True
Al,1,158,6.77,False
Al,1,159,1.1,False
Al,1,160,2.24,False
Al,1,161,-7.61,False
Al,1,162,-6.86,False
Al,1,163,-8.69,False
Al,1,164,-7.1,False
Al,1,165,-5.24,False
Al,1,166,-4.42,False
Al,1,167,-2.2,True
Al,1,168,4.6,False
Al,1,169,4.87,False
Al,1,170,2.59,True
Al,1,171,9.85,False
Al,1,172,-0.36,False
Al,1,173,-0.95,True
Al,1,174,2.76,False
Al,1,175,-1.52,False
Al,1,176,-6.44,False
Al,1,177,0.58,True
Al,1,178,-3.65,True
Al,1,179,-0.89,False
Al,1,180,0.75,False
Al,1,181,-19.28,False
Al,1,182,-9.11,False
Al,1,183,-15.39,False
Al,1,184,-7.81,False
Al,1,185,-6.19,False
Al,1,186,-10.88,False
Al,1,187,-5.62,False
Al,1,188,-11.58,False
Al,1,189,-5.36,False
Al,1,190,-1.93,False
Al,1,191,0.61,True
Al,1,192,-6.77,False
Al,1,193,-9.62,False
Al,1,194,-0.42,True
Al,1,195,-5.81,False
Al,1,196,-4.5,False
Al,1,197,-5.5,False
Al,1,198,-1.31,True
Al,1,199,-7.25,False
Al,1,200,-9.72,False
Al,1,201,-16.26,False
