Participant ID,Session,Attempt,Error Angle,Hit
Al,1,1,-60.64,False
Al,1,2,-0.56,True
Al,1,3,0.2,True
Al,1,4,-1.92,True
Al,1,5,-8.24,False
Al,1,6,-4.69,False
Al,1,7,-3.91,False
Al,1,8,-2.35,True
Al,1,9,-1.72,True
Al,1,10,-5.94,False
Al,1,11,-5.57,False
Al,1,12,-11.27,False
Al,1,13,-8.31,False
Al,1,14,-8.0,False
Al,1,15,-9.29,False
Al,1,16,-6.45,False
Al,1,17,-2.14,False
Al,1,18,0.71,False
Al,1,19,2.09,True
Al,1,20,-6.97,False
Al,1,21,19.76,False
Al,1,22,14.25,False
Al,1,23,19.65,False
Al,1,24,20.59,False
Al,1,25,16.67,False
Al,1,26,5.64,False
Al,1,27,6.66,False
Al,1,28,8.69,False
Al,1,29,8.72,False
Al,1,30,8.16,False
Al,1,31,12.5,False
Al,1,32,9.51,False
Al,1,33,13.59,False
Al,1,34,5.48,False
Al,1,35,15.49,False
Al,1,36,9.55,False
Al,1,37,-9.26,False
Al,1,38,-1.18,True
Al,1,39,-7.25,False
Al,1,40,-5.19,False
Al,1,41,-4.45,False
Al,1,42,-7.67,False
Al,1,43,5.97,False
Al,1,44,-14.56,False
Al,1,45,-1.17,False
Al,1,46,0.6,False
Al,1,47,1.7,False
Al,1,48,-3.95,False
Al,1,49,4.43,False
Al,1,50,-2.27,True
Al,1,51,2.78,True
Al,1,52,-0.09,True
Al,1,53,5.97,False
Al,1,54,-8.54,False
Al,1,55,2.8,False
Al,1,56,-8.4,False
Al,1,57,-2.89,False
Al,1,58,2.91,True
Al,1,59,7.61,False
Al,1,60,10.84,False
Al,1,61,-3.02,True
Al,1,62,9.04,False
Al,1,63,9.37,False
Al,1,64,8.89,False
Al,1,65,6.24,False
Al,1,66,6.96,False
Al,1,67,5.69,False
Al,1,68,-1.71,True
Al,1,69,3.27,True
Al,1,70,6.76,False
Al,1,71,5.37,False
Al,1,72,-0.82,True
Al,1,73,-4.1,False
Al,1,74,3.96,False
Al,1,75,9.35,False
Al,1,76,5.56,False
Al,1,77,0.49,False
Al,1,78,4.27,False
Al,1,79,7.99,False
Al,1,80,3.1,True
Al,1,81,-16.7,False
Al,1,82,-12.97,False
Al,1,83,-8.04,False
Al,1,84,-17.92,False
Al,1,85,-11.01,False
Al,1,86,-12.26,False
Al,1,87,-16.25,False
Al,1,88,-13.87,False
Al,1,89,-5.04,False
Al,1,90,-5.69,False
Al,1,91,-9.14,False
Al,1,92,-17.72,False
Al,1,93,-12.97,False
Al,1,94,-1.88,True
Al,1,95,-8.08,False
Al,1,96,-12.79,False
Al,1,97,-16.07,False
Al,1,98,-9.94,False
Al,1,99,-1.33,True
Al,1,100,-8.1,False
Al,1,101,-1.22,True
Al,1,102,-4.16,False
Al,1,103,-1.19,True
Al,1,104,-3.7,False
Al,1,105,-7.02,False
Al,1,106,-2.58,True
Al,1,107,-5.42,False
Al,1,108,-6.05,False
Al,1,109,-6.5,False
Al,1,110,-3.21,False
Al,1,111,-2.02,True
Al,1,112,-2.17,True
Al,1,113,-1.83,False
Al,1,114,-0.59,True
Al,1,115,-7.75,False
Al,1,116,-6.45,False
Al,1,117,-5.71,False
Al,1,118,2.2,True
Al,1,119,-16.93,False
Al,1,120,-5.06,False
Al,1,121,17.74,False
Al,1,122,13.42,False
Al,1,123,4.89,False
Al,1,124,11.62,False
Al,1,125,0.34,False
Al,1,126,15.05,False
Al,1,127,1.56,True
Al,1,128,5.5,False
Al,1,129,2.26,False
Al,1,130,8.16,False
Al,1,131,4.32,False
Al,1,132,6.24,False
Al,1,133,10.1,False
Al,1,134,7.17,False
Al,1,135,14.48,False
Al,1,136,7.15,False
Al,1,137,4.19,False
Al,1,138,-8.34,False
Al,1,139,-0.26,True
Al,1,140,-0.41,True
Al,1,141,6.09,False
Al,1,142,2.61,True
Al,1,143,-0.18,True
Al,1,144,-3.47,False
Al,1,145,11.43,False
Al,1,146,0.33,True
Al,1,147,-0.24,True
Al,1,148,7.64,False
Al,1,149,1.98,True
Al,1,150,8.59,False
Al,1,151,-4.67,False
Al,1,152,-3.83,False
Al,1,153,1.33,True
Al,1,154,-0.27,True
Al,1,155,9.38,False
Al,1,156,8.02,False
Al,1,157,3.1,True
Al,1,158,-0.34,True
Al,1,159,4.49,False
Al,1,160,12.84,False
Al,1,161,6.59,False
Al,1,162,10.81,False
Al,1,163,1.98,True
Al,1,164,-0.22,False
Al,1,165,-4.96,False
Al,1,166,6.69,False
Al,1,167,-0.76,True
Al,1,168,-0.34,True
Al,1,169,3.93,False
Al,1,170,4.65,False
Al,1,171,-7.34,False
Al,1,172,7.4,False
Al,1,173,-4.45,False
Al,1,174,7.99,False
Al,1,175,8.1,False
Al,1,176,4.1,False
Al,1,177,-1.69,True
Al,1,178,0.16,True
Al,1,179,3.59,False
Al,1,180,6.43,False
Al,1,181,-22.96,False
Al,1,182,-14.92,False
Al,1,183,-8.64,False
Al,1,184,-7.52,False
Al,1,185,-16.18,False
Al,1,186,-13.53,False
Al,1,187,-12.94,False
Al,1,188,-7.61,False
Al,1,189,-9.17,False
Al,1,190,-12.23,False
Al,1,191,-13.09,False
Al,1,192,-9.78,False
Al,1,193,-13.18,False
Al,1,194,-2.76,True
Al,1,195,-19.92,False
Al,1,196,-14.0,False
Al,1,197,-6.22,False
Al,1,198,-11.34,False
Al,1,199,-14.87,False
Al,1,200,-7.0,False
Al,1,201,-6.76,False
