x,y,feedback_block,subject_id
561.8543506924211,527.9212850851646,1,AE
49.1202636897507,51.92499283884638,1,AE
-93.02445249301468,165.82891070168438,1,AE
512.5078982066163,530.9212850851646,1,AE
338.30079514932606,151.92375236018918,1,AE
383.7699531579957,133.98045951653302,1,AE
561.9165261947807,569.9072513275322,1,AE
402.6761079137792,423.9520061363934,1,AE
106.4896473076677,-59.01380358977698,2,AE
417.4157034323778,409.99364782595006,2,AE
545.7517674785071,438.9899119363562,2,AE
237.78283893691292,253.90405241822185,2,AE
393.0437655668916,125.93468975296868,2,AE
350.00041596013216,379.92353554578716,2,AE
501.52374752950004,339.9522445649007,2,AE
558.92193737877,502.99326932667424,2,AE
440.9029996408985,308.9086065400787,3,AE
379.9555892960402,447.67904514892865,3,AE
