x,y,feedback_block,subject_id
691.1229090284321,644.904290788301,1,participant_AE_2025-01-29-13-20-49
735.7787784919135,450.92420889969094,1,participant_AE_2025-01-29-13-20-49
510.6786941646389,567.9936478259499,1,participant_AE_2025-01-29-13-20-49
563.9550314806534,685.5994946420583,1,participant_AE_2025-01-29-13-20-49
364.18617982934524,365.9279202185669,1,participant_AE_2025-01-29-13-20-49
452.23119585654496,529.9235355457879,1,participant_AE_2025-01-29-13-20-49
410.9235355457873,535.9235355457879,1,participant_AE_2025-01-29-13-20-49
627.4284970354001,478.9522445649003,1,participant_AE_2025-01-29-13-20-49
387.55375400516124,333.96452655999883,1,participant_AE_2025-01-29-13-20-49
582.2072149351286,492.9758811457428,1,participant_AE_2025-01-29-13-20-49
443.2294776599723,138.94876237750785,2,participant_AE_2025-01-29-13-20-49
248.2495856961433,320.9836797990107,2,participant_AE_2025-01-29-13-20-49
677.2975601530238,500.95224456490024,2,participant_AE_2025-01-29-13-20-49
100.96471729818761,-330.0588045030228,2,participant_AE_2025-01-29-13-20-49
434.949605418011,624.2508922978642,2,participant_AE_2025-01-29-13-20-49
610.1243114685496,535.9520061363932,2,participant_AE_2025-01-29-13-20-49
560.6926169959946,516.9235355457879,2,participant_AE_2025-01-29-13-20-49
488.25319781135005,19.96143697921166,2,participant_AE_2025-01-29-13-20-49
470.3034556366252,197.97554750698532,2,participant_AE_2025-01-29-13-20-49
554.1227712520104,176.9204183251496,2,participant_AE_2025-01-29-13-20-49
589.1773472876794,662.9550314806532,2,participant_AE_2025-01-29-13-20-49
651.9096305033057,388.9517867356852,2,participant_AE_2025-01-29-13-20-49
484.44530626264117,256.91324986275754,2,participant_AE_2025-01-29-13-20-49
375.975881145742,504.7541948980589,2,participant_AE_2025-01-29-13-20-49
625.1285123860478,724.997894518051,2,participant_AE_2025-01-29-13-20-49
441.4037859362677,154.9669829491174,2,participant_AE_2025-01-29-13-20-49
677.0568276162968,300.9346897529693,2,participant_AE_2025-01-29-13-20-49
598.8585917523345,393.9040524182215,2,participant_AE_2025-01-29-13-20-49
-137.02326412697917,-460.0024094190719,2,participant_AE_2025-01-29-13-20-49
-520.3623067793957,-1499.0224997678552,2,participant_AE_2025-01-29-13-20-49
231.77370801910905,-151.05145695168878,2,participant_AE_2025-01-29-13-20-49
621.8451614577165,55.905376926865245,2,participant_AE_2025-01-29-13-20-49
-149.0790257989586,44.226506006968904,2,participant_AE_2025-01-29-13-20-49
500.87400931252824,-376.0922310541788,2,participant_AE_2025-01-29-13-20-49
827.4467313732891,752.9588352808212,2,participant_AE_2025-01-29-13-20-49
721.8927649740225,484.91805133950345,2,participant_AE_2025-01-29-13-20-49
137.5498164008539,-141.04069013020796,2,participant_AE_2025-01-29-13-20-49
418.10789424163596,233.9585232200588,2,participant_AE_2025-01-29-13-20-49
741.6201779851414,738.9554894591423,2,participant_AE_2025-01-29-13-20-49
289.3479507479426,-92.08198224927074,2,participant_AE_2025-01-29-13-20-49
540.7790135198271,615.9899119363546,3,participant_AE_2025-01-29-13-20-49
356.7169613173461,289.986655822446,3,participant_AE_2025-01-29-13-20-49
457.84849436915636,442.90405241822117,3,participant_AE_2025-01-29-13-20-49
459.2286772364598,288.9362232105424,3,participant_AE_2025-01-29-13-20-49
530.6141676569606,454.92125148543914,3,participant_AE_2025-01-29-13-20-49
359.7559026291362,64.9913781486879,3,participant_AE_2025-01-29-13-20-49
