x,y,feedback_block,subject_id,noise_x,noise_y,pint_velocity_x,pint_velocity_y,friction
270.02898990754204,227.7713423232222,1,,,-0.07605040310649051,-0.09971052851739873,0.99,AN
260.12298622798863,346.72396436535075,1,,,-0.09518167907059158,-0.0992319632863615,0.99,AN
275.1410683965437,247.4522688683282,1,,,-0.07819261006609643,-0.09951786735685023,0.99,AN
286.8224971593081,338.7239643653507,1,,,-0.09315653696270679,-0.09923196328636145,0.99,AN
228.7238115529269,305.2901119972702,1,,,-0.09620011669622935,-0.09990012118454603,0.99,AN
-18.003245022971587,-501.16786287819315,1,,,-0.05653287855583606,-0.09931451638187395,0.99,AN
-25.674228019525803,42.77579203191483,1,,,-0.09723002000479057,-0.09975547506985012,0.99,AN
-523.3225655812894,-347.73990523245897,1,,,-0.09977206483545555,-0.09353631078323942,0.99,AN
79.08795746378375,-209.5981839535142,1,,,-0.06351472185639426,-0.09900824289379123,0.99,AN
-254.12764876595315,-262.22135066150355,1,,,-0.09062981044490795,-0.09978433675247449,0.99,AN
528.8075908040989,231.83888401117704,2,,,-0.036440311152505886,-0.09938266677956181,0.99,AN
518.590110655008,258.3728043012756,2,,,-0.03626374398999017,-0.09972529597247301,0.99,AN
259.0026273645563,-265.313111587827,2,,,-0.04346088247026503,-0.09986755971890703,0.99,AN
318.16759942242743,-154.27823554096895,2,,,-0.04108686285279434,-0.09920974201040572,0.99,AN
415.8212592655311,251.77134232322211,2,,,-0.055770295611426275,-0.09971052851739873,0.99,AN
281.81648512766657,95.49048658941899,2,,,-0.06178267805723882,-0.09990390494362011,0.99,AN
